PROYECTO,PEDIDO,CLAN,FAMILIA,PROVEEDOR,FECHA DE APROBACION,LUGAR DE ENTREGA,CONCEPTO,SITUACIONES ESPECIALES,IMPORTE,,,,,,,,,,,,,,,,,,,,,,,,,,
00416 LANDMARK COMERCIO,603 A,MATERIALES,CR,"TECNOVIDRIO, S. A. DE C. V.",10/11/2025,AV. PATRIA  1937,REP CRISTAL N26,APLICAR A SALDO LANDMARK TIJUANA, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cd. México a 10 de noviembre de 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PROVEEDOR:,"TECNOVIDRIO, S. A. DE C. V.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Cafetal # 240,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Col. Granjas México,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"08400 México, D. F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tel. 3000 2000 Fax 3000 2092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HEG DISEÑO E INSTALACIÓN, S.A. DE C.V.",,ATN: PILI CORTES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PEDIDO:,603 A,Por medio de la presente confirmamos el siguiente pedido:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAMILIA:,CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONCEPTO:,REP CRISTAL N26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CON CARGO A GFA,,PROYECTO:,00416 LANDMARK COMERCIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CLAN:,MATERIALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ENTREGAR: ,AV. PATRIA  1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Puerta de Hierro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Zapopan Jalisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CP 45116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AT´N. ,JORGE RAMIREZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TEL.,5621026532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MEDIDA CORTE (MM),,,PEDIDO,,,,BARRENOS,,CANTO PULIDO ,,ENTRADA A VIDRIOS,,PVB ,,SERIGRAFIA,,SEPARADOR,,,,,,,,,,,,,,
,NO.,DESCRIPCION,CLAVE MODELO,Ancho,Largo,M2,PZAS,M2,P.U.,IMPORTE,BARRENOS,,CANTO PULIDO ,,ENTRADA A VIDRIOS,,PVB ,,SERIGRAFIA,,SEPARADOR,, TOTAL , COT. 12117957 ,,,,,,,,,,,
,1,"CRISTAL INSULADO FORMADO POR UN CRISTAL ST-136 TEMPLADO DE 6MM. + SEPARADOR DE 1/2"" CON SILICON NEGRO + CRISTAL CLARO TEMPLADO DE 6MM. (CON LOGO EN LOS CANTOS)",CR-M-10,1.542,3.322,5.12,1,5.12," $1,181.01 "," $6,049.75 ",, $-   ,0.01, $-   ,, $-   ,0.00, $-   ,0.00,,0.01, $-   ," $6,049.75 "," $6,049.73 ", $0.02 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,SUMA :,,1,5.12,,"$6,049.75",0.00, $-   ,0.01, $-   ,0.00, $-   ,0.00, $-   ,0.00, $-   ,0.01, $-   ,,,,,,,,,,,,,
,,,APLICAR A SALDO LANDMARK TIJUANA,,,,,,,,,,,,,,,,,,,, SUBTOTAL," $6,049.73 ",,,,,,,,,,,
,,,D. ERICK RUIZ,,,,,,,,,,,,,,,,,,,,APLICAR A SALDO LANDMARK TIJUANA," $6,049.73 ",,,,,,,,,,,
,,,APROBADO,KG:,153.68,,,,,,,,,,,,,,,,,, SUMA, $-   ,,,,,,,,,,,
,,,10/11/2025,M2:,5.12,,,,,,,,,,,,,,,,,, IVA, $-   ,,,,,,,,,,,
,,,FECHA DE APROBACION,,,,,APLICAR A SALDO LANDMARK TIJUANA,,,,,,,,,,,,,,,POR PAGAR, $-   ,,,,,,,,,,,
,,,,,,,,SITUACIONES ESPECIALES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FORMULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,D. ERICK RUIZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
